"","scenario_base","variable","mean_regclim","mean_redprec","mean_difference","min_difference","max_difference","mean_relative_diff"
"1","inf_deepWT_clayey","SWC_0",0.316645444309503,0.325577768510615,0.0089323242011127,-0.015486064516129,0.0403598064516129,1.0289269577658
"2","inf_deepWT_clayey","SWP_0",-1087.5883819583,-1233.69810586089,-146.109723902587,-868.5926727,510.078727142857,2.0860393975382
"3","inf_deepWT_sandy","SWC_0",0.151496944971555,0.148696258118851,-0.00280068685270399,-0.0135472666666667,0.0096559,0.981493846339574
"4","inf_deepWT_sandy","SWP_0",-53.3981305029714,-55.6320393366896,-2.23390883371819,-5.18985864516129,0.0350301200001013,1.53209272396119
"5","inf_shallowWT_clayey","SWC_0",0.294891942124575,0.286883801482974,-0.00800814064160158,-0.0426159032258065,0.0705604333333333,0.974869976763386
"6","inf_shallowWT_clayey","SWP_0",-93.8830710407751,-141.323927594911,-47.4408565541364,-1408.4957982,992.575096774194,106.498015480146
"7","inf_shallowWT_sandy","SWC_0",0.229343407764901,0.223949263208229,-0.00539414455667198,-0.0235667741935484,0.00461840000000002,0.97571114274129
"8","inf_shallowWT_sandy","SWP_0",-53.2713280522293,-53.3318161383268,-0.0604880860975094,-1.30775687096774,2.69210431724787e-10,1.21263505487811
