"","scenario_base","climate","cor_swc_swp","mean_SWC_0","mean_SWP_0","min_SWP_0","max_SWP_0"
"1","inf_deepWT_clayey","redprec",-0.238617359344491,0.3256284616,-1234.69340055923,-4936.28,-0.01262
"2","inf_deepWT_clayey","regclim",-0.21785994875348,0.3167060336,-1089.11512476349,-4936.76,-0.0125486
"3","inf_deepWT_sandy","redprec",0.0342891808264613,0.1486850742,-55.4962442258145,-9449.14,-2.48868e-07
"4","inf_deepWT_sandy","regclim",0.0414847176912152,0.1514729216,-53.2649192647175,-9449.14,-2.48868e-07
"5","inf_shallowWT_clayey","redprec",-0.6352976228133,0.2868738184,-141.35677221062,-4231.12,-0.0113751
"6","inf_shallowWT_clayey","regclim",-0.507015168293241,0.2948352235,-94.1063480454301,-3526.73,-0.0113994
"7","inf_shallowWT_sandy","redprec",0.209797374373819,0.2239214857,-53.1302646488582,-9449.14,-2.48868e-07
"8","inf_shallowWT_sandy","regclim",0.230222552096733,0.2293141603,-53.0698212624777,-9449.14,-2.48868e-07
