"","scenario_base","layer","variable","mean_regclim","mean_redprec","mean_difference","min_difference","max_difference","mean_relative_diff"
"1","inf_deepWT_clayey",0,"SWC",0.316645444309503,0.325577768510615,0.0089323242011127,-0.015486064516129,0.0403598064516129,1.0289269577658
"2","inf_deepWT_clayey",1,"SWC",0.280553287051786,0.281895201755646,0.00134191470386007,-0.0189254516129033,0.0172935666666666,1.00491028039081
"3","inf_deepWT_clayey",2,"SWC",0.270044275424448,0.270199991365969,0.000155715941521253,-0.0023572,0.00315016666666668,1.00058104691346
"4","inf_deepWT_clayey",3,"SWC",0.2695148436918,0.269399469812094,-0.000115373879706269,-0.0015746451612903,0.00312870967741941,0.999567499010543
"5","inf_deepWT_clayey",4,"SWC",0.290665927600874,0.290265574124077,-0.000400353476796964,-0.00128780645161292,0.00423748387096773,0.998557767885752
"6","inf_deepWT_clayey",5,"SWC",0.530659,0.530659,0,0,0,1
"7","inf_deepWT_clayey",0,"SWP",-1087.5883819583,-1233.69810586089,-146.109723902587,-868.5926727,510.078727142857,2.0860393975382
"8","inf_deepWT_clayey",1,"SWP",-934.263555577759,-1076.07136064057,-141.807805062806,-863.443607516129,499.352043548387,2.52762149293778
"9","inf_deepWT_clayey",2,"SWP",-868.030948648086,-1003.38250776887,-135.351559120782,-809.944233333333,519.083248387097,1.58310922945033
"10","inf_deepWT_clayey",3,"SWP",-817.739316421133,-955.375660045692,-137.636343624559,-785.6095,419.828935483871,1.35326796626974
"11","inf_deepWT_clayey",4,"SWP",-0.516226462617587,-0.550672596370694,-0.0344461337531071,-0.0998364193548387,0.018462,1.05945453597919
"12","inf_deepWT_clayey",5,"SWP",0,0,0,0,0,NA
"13","inf_deepWT_sandy",0,"SWC",0.151496944971555,0.148696258118851,-0.00280068685270399,-0.0135472666666667,0.0096559,0.981493846339574
"14","inf_deepWT_sandy",1,"SWC",0.149452154496271,0.147767787280966,-0.00168436721530541,-0.00346903225806452,0.000231766666666661,0.988694106037061
"15","inf_deepWT_sandy",2,"SWC",0.151446108418893,0.150082088054658,-0.00136402036423449,-0.00348567741935485,3.9033333333327e-05,0.990871740540613
"16","inf_deepWT_sandy",3,"SWC",0.156304861331571,0.155779418790017,-0.000525442541553893,-0.004331,-2.22580645159454e-06,0.996622786324536
"17","inf_deepWT_sandy",4,"SWC",0.181352187293857,0.187860997106765,0.00650880981290866,-0.0261151935483871,0.0165109032258065,1.03952025007377
"18","inf_deepWT_sandy",5,"SWC",0.525602,0.525602,0,0,0,1
"19","inf_deepWT_sandy",0,"SWP",-53.3981305029714,-55.6320393366896,-2.23390883371819,-5.18985864516129,0.0350301200001013,1.53209272396119
"20","inf_deepWT_sandy",1,"SWP",-5.64631570420544,-7.81389582806714,-2.1675801238617,-5.18185266666667,0.782523333333334,1.41067597222873
"21","inf_deepWT_sandy",2,"SWP",-4.72810493317155,-6.21889500581942,-1.49079007264787,-3.22103967741936,1.79099999999995e-05,1.30338939910554
"22","inf_deepWT_sandy",3,"SWP",-3.03941400987216,-3.26119993599795,-0.221785926125796,-0.503506785714285,-2.64516129033429e-07,1.07496294212656
"23","inf_deepWT_sandy",4,"SWP",-0.516613506635774,-0.369626117673217,0.146987388962557,-0.764176133333333,0.398619161290323,0.773719248601478
"24","inf_deepWT_sandy",5,"SWP",0,0,0,0,0,NA
"25","inf_shallowWT_clayey",0,"SWC",0.294891942124575,0.286883801482974,-0.00800814064160158,-0.0426159032258065,0.0705604333333333,0.974869976763386
"26","inf_shallowWT_clayey",1,"SWC",0.29229994482117,0.288493912642774,-0.00380603217839649,-0.036450129032258,0.0588871666666667,0.988535700096573
"27","inf_shallowWT_clayey",2,"SWC",0.298105972530284,0.301453939688532,0.0033479671582471,-0.0427369032258065,0.0717534333333333,1.01339821978613
"28","inf_shallowWT_clayey",3,"SWC",0.324215181197436,0.332110789494787,0.00789560829735124,-0.0250316129032258,0.0611525,1.02555516515149
"29","inf_shallowWT_clayey",4,"SWC",0.365020815185078,0.374338685868636,0.00931787068355865,-0.0862905333333334,0.0893011666666667,1.02810247098154
"30","inf_shallowWT_clayey",5,"SWC",0.530659,0.530659,0,0,0,1
"31","inf_shallowWT_clayey",0,"SWP",-93.8830710407751,-141.323927594911,-47.4408565541364,-1408.4957982,992.575096774194,106.498015480146
"32","inf_shallowWT_clayey",1,"SWP",-59.6309504310853,-82.3256595504604,-22.6947091193751,-1006.78741935484,595.486447419355,15.805554728149
"33","inf_shallowWT_clayey",2,"SWP",-6.61045527408094,-10.0331908851327,-3.42273561105173,-317.042930213333,261.69609683871,20.7050326480311
"34","inf_shallowWT_clayey",3,"SWP",-3.12855991743657,-5.12476339500828,-1.99620347757171,-187.999210413333,170.618086477419,64.2638738333886
"35","inf_shallowWT_clayey",4,"SWP",-1.16374143121986,-1.97547856459745,-0.811737133377597,-117.541494971,102.328257839677,99.515785058347
"36","inf_shallowWT_clayey",5,"SWP",0,0,0,0,0,NA
"37","inf_shallowWT_sandy",0,"SWC",0.229343407764901,0.223949263208229,-0.00539414455667198,-0.0235667741935484,0.00461840000000002,0.97571114274129
"38","inf_shallowWT_sandy",1,"SWC",0.230387727325615,0.225490340616306,-0.00489738670930959,-0.0209075806451613,0.000205451612903224,0.978363408699798
"39","inf_shallowWT_sandy",2,"SWC",0.238597974643274,0.23555748668568,-0.00304048795759407,-0.00664706666666667,-0.000157935483870997,0.987151618393285
