weighting,scenario,weighted_mean,q10,median,q90,prop_wsg_below_060,prop_wsg_below_070
Abundance,deep_clayey_regclim,0.7423853215294788,0.5798285007,0.7637051344,0.8829284906,0.1360544217687075,0.3310657596371882
Abundance,shallow_sandy_regclim,0.6539848307818878,0.5014054775,0.657417655,0.8078235388,0.32605304212168484,0.609984399375975
Basal area,deep_clayey_regclim,0.7105544254916675,0.5641722083,0.7105404735,0.8629713655,0.15508365654588088,0.4721350861876308
Basal area,shallow_sandy_regclim,0.6494145854275178,0.5056692958,0.654217124,0.7938326597,0.34297740318896636,0.6204522326044075
Biomass,deep_clayey_regclim,0.7169758138504647,0.5859426856,0.7171941996,0.8722311854,0.13024229948874025,0.4552529664216846
Biomass,shallow_sandy_regclim,0.6691297040141613,0.5190565586,0.6705687642,0.8094940186,0.28364574006995674,0.5543351311336138
