scenario,variable,mean_post_spinup,sd_post_spinup,min_post_spinup,max_post_spinup
longterm_deep_sandy_regclim,evaporation,1.6667891558785308e-4,1.6538466633537356e-5,1.3933168298630138e-4,1.9102155671232876e-4
longterm_deep_sandy_regclim,interception,1.129578637260274e-6,4.3264976662092504e-8,1.0607756712328767e-6,1.2544051506849314e-6
longterm_deep_sandy_regclim,leak,0,0,0,0
longterm_deep_sandy_regclim,precipitation,8.460910164383561,0.7101883594145585,7.491506849315069,9.727342465753429
longterm_deep_sandy_regclim,runoff,0.0024456171992547292,4.8483441147974493e-4,0.0016254745041095805,0.003627269987671234
longterm_deep_sandy_regclim,throughfall,0.007754923287860571,6.978737635777048e-4,0.006744517587057539,0.008992772201917808
longterm_deep_sandy_regclim,transpiration1016,0.001774679722081507,1.495539125010876e-4,0.0015149293284931508,0.002097552424109589
longterm_deep_sandy_regclim,transpitation_0,NA,NA,Inf,-Inf
longterm_deep_sandy_regclim,transpitation_1,NA,NA,Inf,-Inf
longterm_deep_sandy_regclim,transpitation_2,NA,NA,Inf,-Inf
longterm_deep_sandy_regclim,transpitation_3,NA,NA,Inf,-Inf
longterm_deep_sandy_regclim,transpitation_4,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,evaporation,1.8146446052849316e-4,1.680319533359955e-5,1.5065469019178083e-4,2.095285279452055e-4
longterm_origcode_sandy_regclim,interception,1.1376071985616438e-6,4.468588274841343e-8,1.0646549315068495e-6,1.2771299452054797e-6
longterm_origcode_sandy_regclim,leak,0.005305844217243697,7.889306069238323e-4,0.003609661654958903,0.006872844969863006
longterm_origcode_sandy_regclim,precipitation,8.460910164383561,0.7101883594145585,7.491506849315069,9.727342465753429
longterm_origcode_sandy_regclim,runoff,0,0,0,0
longterm_origcode_sandy_regclim,throughfall,0.007749905446534211,6.975606829596966e-4,0.006739100172602737,0.008994039101643835
longterm_origcode_sandy_regclim,transpiration1016,0.0017927342219863013,1.5150606402383366e-4,0.0015140182649315069,0.0021232296917808218
longterm_origcode_sandy_regclim,transpitation_0,4.14641317261702e-4,7.299588893736696e-5,3.11106034e-4,6.54119952109589e-4
longterm_origcode_sandy_regclim,transpitation_1,5.544506297156643e-4,5.689138214765538e-5,4.354012200873973e-4,6.836296548219178e-4
longterm_origcode_sandy_regclim,transpitation_2,5.097226166122659e-4,3.746590179723024e-5,4.4189757389041096e-4,6.298212639726027e-4
longterm_origcode_sandy_regclim,transpitation_3,4.900739149625234e-4,5.948042494906312e-5,3.5039101173150685e-4,6.059215201369863e-4
longterm_origcode_sandy_regclim,transpitation_4,2.936793168677106e-4,9.341040730449788e-5,1.1825439526849316e-4,4.438694504798904e-4
longterm_shallow_sandy_regclim,evaporation,1.6844894054848645e-4,1.8309274221054464e-5,1.3817392015068493e-4,1.943720389041096e-4
longterm_shallow_sandy_regclim,interception,1.1291505872602739e-6,4.37216322810949e-8,1.060095863013698e-6,1.2573469863013699e-6
longterm_shallow_sandy_regclim,leak,0,0,0,0
longterm_shallow_sandy_regclim,precipitation,8.460910164383561,0.7101883594145585,7.491506849315069,9.727342465753429
longterm_shallow_sandy_regclim,runoff,0.002913770143381161,4.5948276359329714e-4,0.002037455559726028,0.0037762773377260283
longterm_shallow_sandy_regclim,throughfall,0.007755190925286109,6.974849753113156e-4,0.006745854699221918,0.00899001453342466
longterm_shallow_sandy_regclim,transpiration1016,0.001776512141989726,1.4952583108674707e-4,0.0015039713336986301,0.0021274056739726027
longterm_shallow_sandy_regclim,transpitation_0,NA,NA,Inf,-Inf
longterm_shallow_sandy_regclim,transpitation_1,NA,NA,Inf,-Inf
longterm_shallow_sandy_regclim,transpitation_2,NA,NA,Inf,-Inf
longterm_shallow_sandy_regclim,transpitation_3,NA,NA,Inf,-Inf
longterm_shallow_sandy_regclim,transpitation_4,NA,NA,Inf,-Inf
