scenario,variable,layer,mean_post_spinup,sd_post_spinup,min_post_spinup,max_post_spinup
longterm_deep_sandy_regclim,SWC,0,0.28742538519863015,0.005591387547285092,0.2756203095890411,0.30243351232876714
longterm_deep_sandy_regclim,SWC,1,0.37050491653424655,0.008477402456405886,0.35230097260273974,0.3859729205479452
longterm_deep_sandy_regclim,SWC,2,0.3626866764109589,0.016421305173961818,0.32538052602739725,0.3972352684931507
longterm_deep_sandy_regclim,SWC,3,0.4601517610547945,0.011123286121262474,0.43037047671232875,0.4850755260273973
longterm_deep_sandy_regclim,SWC,4,0.25764938960273975,0.0058823472375120695,0.24625357260273972,0.2736381397260274
longterm_deep_sandy_regclim,SWC,5,0.525602,0,0.525602,0.525602
longterm_deep_sandy_regclim,SWP,0,-1250.9684127972955,132.35599396478077,-1644.123341936091,-991.3122273818294
longterm_deep_sandy_regclim,SWP,1,-0.008905839177520547,0.0016867697231872794,-0.011727894912328764,-0.006205144463013699
longterm_deep_sandy_regclim,SWP,2,-0.009821194249232877,0.0012637717972495324,-0.012962093095890411,-0.006960543134246575
longterm_deep_sandy_regclim,SWP,3,-0.0025496022486164384,5.609774863816329e-4,-0.004107507687671234,-0.0013794003369863013
longterm_deep_sandy_regclim,SWP,4,-0.03299951734383562,0.003519353277889339,-0.04072382767123287,-0.02527656657534247
longterm_deep_sandy_regclim,SWP,5,0,0,0,0
longterm_deep_sandy_regclim,transpiration,0,1.7719870207850383e-4,4.1608270943718096e-5,1.1301897365017403e-4,2.646103391826357e-4
longterm_deep_sandy_regclim,transpiration,1,6.020217748418014e-4,7.187364103569246e-5,4.3544683509589037e-4,7.989058514520547e-4
longterm_deep_sandy_regclim,transpiration,2,3.0967959477371643e-4,9.946477136269339e-5,1.1718005816438359e-4,5.071482078904108e-4
longterm_deep_sandy_regclim,transpiration,3,0.0011469721701172857,1.7993604169457797e-4,7.225978461221918e-4,0.001513935707161644
longterm_deep_sandy_regclim,transpiration,4,6.383154630895747e-8,3.008029114146783e-8,1.610351344739726e-8,1.2783066790684937e-7
longterm_deep_sandy_regclim,transpiration,5,2.9042481663837264e-6,1.6984009864036043e-6,3.351600657068493e-7,8.627805948931505e-6
longterm_origcode_sandy_regclim,SWC,0,0.3061534475821918,0.009637838352617147,0.28991225753424654,0.322249504109589
longterm_origcode_sandy_regclim,SWC,1,0.3062365268287671,0.010404487168721234,0.2858138191780822,0.3255578438356164
longterm_origcode_sandy_regclim,SWC,2,0.30557601593835615,0.010709881193848619,0.28348967945205483,0.3257810821917808
longterm_origcode_sandy_regclim,SWC,3,0.3087413791849315,0.010363304285626526,0.2843255452054795,0.32818025479452057
longterm_origcode_sandy_regclim,SWC,4,0.3142844130410959,0.010048133108664226,0.2847585534246575,0.33140292328767124
longterm_origcode_sandy_regclim,SWC,5,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,SWP,0,-0.04868573132260274,0.07345178464450025,-0.35414759835616433,-0.011964480273972603
longterm_origcode_sandy_regclim,SWP,1,-0.028118160652054795,0.01628113041496541,-0.08822238219178083,-0.01123362191780822
longterm_origcode_sandy_regclim,SWP,2,-0.027496584065068493,0.015225776147880492,-0.09033431205479447,-0.011222727671232877
longterm_origcode_sandy_regclim,SWP,3,-0.022913880189041096,0.010652624112232466,-0.06971837780821913,-0.010806486301369862
longterm_origcode_sandy_regclim,SWP,4,-0.018186797597260274,0.007297923178527526,-0.05125741342465752,-0.010279125753424658
longterm_origcode_sandy_regclim,SWP,5,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,transpiration,0,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,transpiration,1,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,transpiration,2,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,transpiration,3,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,transpiration,4,NA,NA,Inf,-Inf
longterm_origcode_sandy_regclim,transpiration,5,NA,NA,Inf,-Inf
longterm_shallow_sandy_regclim,SWC,0,0.30434701180821916,0.004414739254046019,0.29411820273972605,0.3118003945205479
longterm_shallow_sandy_regclim,SWC,1,0.3310780329931507,0.0040472241703675,0.32113856712328764,0.33830026575342464
longterm_shallow_sandy_regclim,SWC,2,0.35575804217123286,0.0042033238585631886,0.34827291506849317,0.3642926821917808
longterm_shallow_sandy_regclim,SWC,3,0.3952294187328767,0.0059825697695321525,0.3816042876712329,0.40782217260273973
longterm_shallow_sandy_regclim,SWC,4,0.30990982851369864,0.0014886444701718638,0.30671859726027395,0.3135838931506849
longterm_shallow_sandy_regclim,SWC,5,0.525602,0,0.525602,0.525602
longterm_shallow_sandy_regclim,SWP,0,-1232.5326201904318,146.27325956564758,-1626.6576734348494,-926.3588237160546
longterm_shallow_sandy_regclim,SWP,1,-448.7288845027074,86.98902958932553,-670.2876019781074,-288.2823910532342
longterm_shallow_sandy_regclim,SWP,2,-0.009559897757478836,0.00142885975672518,-0.024149641928767118,-0.00785830392328767
longterm_shallow_sandy_regclim,SWP,3,-0.00570749757219863,6.117043530240887e-4,-0.006926316402739728,-0.004435368410958904
longterm_shallow_sandy_regclim,SWP,4,-0.013872072584383562,2.6246520246428706e-4,-0.014466519780821918,-0.013316725780821917
longterm_shallow_sandy_regclim,SWP,5,0,0,0,0
longterm_shallow_sandy_regclim,transpiration,0,2.1951148000322343e-4,3.122141077314376e-5,1.6083994781260224e-4,3.148713085663565e-4
longterm_shallow_sandy_regclim,transpiration,1,2.6947902939336e-4,2.1747656544338844e-5,2.2802734266762052e-4,3.2952253345747454e-4
longterm_shallow_sandy_regclim,transpiration,2,1.5562772806785503e-4,1.3959627833418785e-5,1.2217408323937943e-4,1.9931245450958903e-4
longterm_shallow_sandy_regclim,transpiration,3,2.3130172260765343e-4,1.9048972937300117e-5,1.793461862328767e-4,2.786389032547945e-4
longterm_shallow_sandy_regclim,transpiration,4,2.943183528193014e-6,3.310226047572427e-7,2.2448275438356164e-6,3.5572988210958906e-6
longterm_shallow_sandy_regclim,transpiration,5,0.0013616734430777397,1.8119195920493245e-4,0.001019850726849315,0.0017305563469041092
